#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD208672  	5986	 4.52	 0.13	  67	-0.131	 0.028	      	      	 0.287	 0.248	      	-0.418	non 	thin 	HD208672  	329.50458	-05.20419
HD85725   	5986	 3.86	 0.15	 614	-0.044	 0.021	 0.001	 0.040	      	      	-0.045	      	non 	thin 	HD85725   	148.24178	-27.33217
HD102300  	5987	 4.14	-0.31	 112	-0.039	 0.027	 0.264	 0.230	 0.171	 0.258	-0.303	-0.210	non 	thin 	HD102300  	176.61475	-24.97624
HD76188   	5989	 3.99	-0.44	  90	 0.035	 0.049	 0.280	 0.308	 0.335	 0.250	-0.245	-0.300	non 	thin 	HD76188   	132.86558	-61.36297
HD82943   	5989	 4.34	 0.26	2001	-0.089	 0.013	-0.091	 0.033	-0.016	 0.045	 0.002	-0.073	jup 	thin 	HD82943   	143.71140	-12.12955
HD117618  	5990	 4.32	 0.03	 613	-0.055	 0.031	-0.020	 0.052	 0.059	 0.063	-0.035	-0.114	jup 	thin 	HD117618  	203.10648	-47.27136
HD109684  	5992	 4.29	-0.34	 239	 0.069	 0.012	 0.214	 0.148	 0.317	 0.126	-0.145	-0.248	non 	thin 	HD109684  	189.11851	+10.72984
HD94444   	5998	 4.24	-0.62	 264	 0.094	 0.039	 0.258	 0.197	 0.277	 0.186	-0.164	-0.183	non 	thin 	HD94444   	163.35680	-44.41133
HD44447   	5999	 4.27	-0.22	 755	 0.027	 0.044	 0.195	 0.048	 0.134	 0.063	-0.168	-0.107	non 	thin 	HD44447   	093.77508	-71.70276
HD153276  	6000	 4.38	 0.04	 102	-0.013	 0.069	      	      	 0.170	 0.219	      	-0.183	non 	thin 	HD153276  	254.74167	-15.81200
HD135625  	6003	 4.22	 0.12	 405	-0.040	 0.023	-0.033	 0.063	 0.057	 0.067	-0.007	-0.097	non 	thin 	HD135625  	229.45170	-45.92242
HD39091   	6003	 4.32	 0.09	 929	-0.080	 0.022	-0.078	 0.034	-0.080	 0.053	-0.002	 0.000	jup 	thin 	HD39091   	084.29119	-80.46912
HD75328   	6003	 4.36	-0.23	  99	-0.003	 0.054	      	      	-0.142	 0.469	      	 0.139	non 	thin 	HD75328   	130.07964	-79.67404
HD111564  	6004	 4.27	 0.07	 299	-0.038	 0.016	-0.018	 0.083	 0.013	 0.100	-0.020	-0.051	non 	thin 	HD111564  	192.58410	-30.57709
HD190984  	6007	 3.92	-0.49	 688	 0.059	 0.020	 0.220	 0.067	 0.322	 0.049	-0.161	-0.263	jup 	thin 	HD190984  	302.87798	-64.62047
HD208068  	6007	 4.54	-0.38	 243	-0.109	 0.029	      	      	 0.277	 0.176	      	-0.386	non 	thin 	HD208068  	328.51611	-17.16147
HD216435  	6008	 4.10	 0.24	1250	-0.099	 0.031	-0.047	 0.022	 0.006	 0.029	-0.052	-0.105	jup 	thin 	HD216435  	343.40805	-48.59828
HD202209  	6009	 4.58	-0.01	 114	-0.137	 0.046	-0.065	 0.246	 0.232	 0.222	-0.072	-0.369	non 	thin 	HD202209  	318.90012	-39.45276
HD196800  	6010	 4.27	 0.19	 265	-0.051	 0.038	-0.021	 0.073	 0.130	 0.081	-0.030	-0.181	non 	thin 	HD196800  	310.09306	-24.11803
CD-436810 	6011	 4.31	-0.44	 171	 0.223	 0.026	 0.548	 0.139	 0.417	 0.164	-0.325	-0.194	non 	thick	CD-436810 	167.16707	-44.25939
HD17548   	6011	 4.34	-0.53	 252	 0.069	 0.042	 0.237	 0.192	 0.204	 0.200	-0.168	-0.135	non 	thin 	HD17548   	042.21606	-01.50966
HD106290  	6012	 4.45	 0.13	  69	-0.097	 0.062	 0.007	 0.264	-0.160	 0.457	-0.104	 0.063	non 	thin 	HD106290  	183.46989	-55.20740
HD180409  	6013	 4.42	-0.17	 243	-0.006	 0.035	-0.102	 0.171	 0.213	 0.136	 0.096	-0.219	non 	thin 	HD180409  	289.21756	-10.97178
HD26887   	6016	 4.36	-0.35	 119	 0.051	 0.057	 0.377	 0.207	      	      	-0.326	      	non 	thin 	HD26887   	063.71678	-05.39649
HD38973   	6016	 4.32	 0.05	 807	-0.026	 0.021	 0.012	 0.039	 0.003	 0.058	-0.038	-0.029	non 	thin 	HD38973   	086.61663	-53.21932
HD73524   	6017	 4.33	 0.16	 576	-0.193	 0.021	-0.084	 0.051	 0.079	 0.051	-0.109	-0.272	non 	thin 	HD73524   	129.33330	-40.14767
HD29980   	6019	 4.61	 0.12	  43	-0.018	 0.043	      	      	 0.206	 0.418	      	-0.224	non 	thin 	HD29980   	070.81837	-09.61811
HD92547   	6020	 4.35	-0.37	 125	-0.021	 0.069	 0.246	 0.248	 0.312	 0.235	-0.267	-0.333	non 	thin 	HD92547   	160.23352	-13.12953
HD177122  	6021	 4.42	-0.10	 169	-0.069	 0.014	-0.248	 0.260	      	      	 0.179	      	non 	thin 	HD177122  	286.17282	-31.37269
HD121504  	6022	 4.39	 0.14	 526	-0.172	 0.016	-0.100	 0.055	 0.101	 0.061	-0.072	-0.273	jup 	thin 	HD121504  	209.32183	-56.04004
HD197300  	6022	 4.59	 0.02	 105	-0.168	 0.034	 0.037	 0.219	      	      	-0.205	      	non 	thin 	HD197300  	310.89221	-24.69172
HD3823    	6022	 4.21	-0.28	 792	 0.033	 0.011	 0.165	 0.054	 0.257	 0.052	-0.132	-0.224	non 	thin 	HD3823    	010.10696	-59.45460
HD9782    	6023	 4.32	 0.09	 386	-0.048	 0.016	-0.111	 0.076	 0.035	 0.080	 0.063	-0.083	non 	thin 	HD9782    	023.85962	-13.38103
HD7449    	6024	 4.41	-0.11	 847	-0.083	 0.013	 0.008	 0.044	 0.104	 0.052	-0.091	-0.187	jup 	thin 	HD7449    	018.62218	-05.04739
HD4597    	6025	 4.33	-0.39	 149	-0.025	 0.020	      	      	      	      	      	      	non 	thin 	HD4597    	011.87814	-36.94020
HD71479   	6026	 4.32	 0.24	 771	-0.074	 0.014	-0.033	 0.041	      	      	-0.041	      	non 	thin 	HD71479   	126.89636	-05.14864
HD157338  	6027	 4.34	-0.08	1274	-0.023	 0.010	 0.012	 0.031	      	      	-0.035	      	non 	thin 	HD157338  	261.03642	-34.79845
HD36379   	6030	 4.20	-0.17	 913	 0.033	 0.015	 0.097	 0.039	 0.138	 0.045	-0.064	-0.105	non 	thin 	HD36379   	082.74975	-10.08108
HD204385  	6033	 4.33	 0.07	 281	-0.044	 0.021	 0.000	 0.080	-0.004	 0.120	-0.044	-0.040	non 	thin 	HD204385  	322.69971	-62.16760
HD125881  	6036	 4.38	 0.06	 584	-0.097	 0.019	-0.058	 0.051	-0.041	 0.078	-0.039	-0.056	non 	thin 	HD125881  	216.19157	-63.70657
HD2567    	6038	 4.33	 0.22	 239	-0.095	 0.035	-0.008	 0.078	-0.026	 0.119	-0.087	-0.069	non 	thin 	HD2567    	007.31713	-05.91049
HD71685   	6038	 4.47	-0.37	 118	-0.013	 0.023	      	      	 0.488	 0.204	      	-0.501	non 	thin 	HD71685   	127.07039	-14.58783
HD200538  	6042	 4.27	 0.10	 354	-0.073	 0.017	-0.011	 0.062	 0.099	 0.075	-0.062	-0.172	non 	thin 	HD200538  	316.27047	-32.82617
HD31822   	6042	 4.46	-0.19	 424	-0.101	 0.019	-0.106	 0.109	 0.186	 0.089	 0.005	-0.287	non 	thin 	HD31822   	074.64903	-09.33430
HD171990  	6045	 4.03	 0.06	1199	-0.009	 0.011	 0.000	 0.027	 0.061	 0.031	-0.009	-0.070	non 	thin 	HD171990  	281.95471	-77.86825
HD70889   	6051	 4.38	 0.11	1025	-0.148	 0.010	-0.041	 0.037	-0.046	 0.051	-0.107	-0.102	non 	thin 	HD70889   	125.88255	-27.82235
HD215257  	6052	 4.35	-0.63	 976	 0.089	 0.015	 0.322	 0.055	      	      	-0.233	      	non 	thin 	HD215257  	340.96133	+03.88684
HD44120   	6052	 4.14	 0.12	 610	-0.072	 0.044	-0.013	 0.044	 0.076	 0.054	-0.059	-0.148	non 	thin 	HD44120   	094.07828	-59.21350
HD145377  	6054	 4.42	 0.12	 698	-0.169	 0.017	-0.152	 0.043	 0.028	 0.055	-0.017	-0.197	jup 	thin 	HD145377  	242.90186	-27.07818
HD95860   	6054	 4.37	-0.31	 180	 0.005	 0.046	 0.258	 0.157	 0.296	 0.173	-0.253	-0.291	non 	thin 	HD95860   	165.71155	-53.24702
HD202871  	6055	 4.43	-0.09	 344	-0.111	 0.022	-0.024	 0.095	 0.143	 0.102	-0.087	-0.254	non 	thin 	HD202871  	320.02032	-42.67869
HD9578    	6055	 4.41	 0.11	 532	-0.147	 0.019	-0.084	 0.055	 0.019	 0.067	-0.063	-0.166	jup 	thin 	HD9578    	023.32144	-38.24502
HD115341  	6058	 4.44	-0.01	  98	-0.089	 0.076	-0.087	 0.263	 0.104	 0.280	-0.002	-0.193	non 	thin 	HD115341  	199.16696	-05.57350
HD24085   	6065	 4.36	 0.17	 113	-0.084	 0.048	-0.028	 0.156	-0.167	 0.302	-0.056	 0.083	non 	thin 	HD24085   	056.25646	-70.02410
HD93745   	6065	 4.23	 0.12	 124	-0.108	 0.052	 0.021	 0.136	-0.156	 0.264	-0.129	 0.048	non 	thin 	HD93745   	162.25216	-31.05914
HD119638  	6069	 4.31	-0.15	1163	-0.007	 0.013	 0.097	 0.037	 0.179	 0.045	-0.104	-0.186	non 	thin 	HD119638  	206.18584	-14.22518
HD103891  	6072	 3.93	-0.19	 430	-0.016	 0.018	 0.033	 0.072	 0.139	 0.073	-0.049	-0.155	non 	thin 	HD103891  	179.43876	-08.54871
HD196892  	6072	 4.38	-0.89	 150	 0.127	 0.031	      	      	      	      	      	      	non 	thick	HD196892  	310.20575	-18.79258
HD153950  	6074	 4.27	-0.01	 556	-0.128	 0.019	-0.017	 0.058	 0.072	 0.064	-0.111	-0.200	jup 	thin 	HD153950  	256.12863	-43.30977
HD31103   	6078	 4.37	 0.09	 359	-0.095	 0.021	-0.096	 0.071	-0.231	 0.158	 0.001	 0.136	non 	thin 	HD31103   	072.91909	-31.56732
HD223854  	6080	 3.96	-0.54	 253	 0.036	 0.042	 0.503	 0.096	 0.407	 0.110	-0.467	-0.371	non 	thin 	HD223854  	358.27872	+02.33111
HD96276   	6080	 4.37	-0.02	 125	-0.044	 0.075	 0.013	 0.179	 0.034	 0.251	-0.057	-0.078	non 	thin 	HD96276   	166.46139	-20.40908
HD108063  	6081	 3.99	 0.55	 221	-0.204	 0.037	-0.088	 0.050	      	      	-0.116	      	non 	thin 	HD108063  	186.28549	-42.51431
HD123517  	6082	 3.96	 0.09	 209	-0.093	 0.040	-0.096	 0.096	-0.083	 0.135	 0.003	-0.010	non 	thin 	HD123517  	213.49951	-78.89772
HD38382   	6082	 4.33	 0.03	 290	-0.074	 0.023	-0.045	 0.086	-0.062	 0.143	-0.029	-0.012	non 	thin 	HD38382   	086.11831	-20.12657
HD6735    	6082	 4.37	-0.06	 550	-0.051	 0.012	-0.045	 0.059	 0.128	 0.068	-0.006	-0.179	non 	thin 	HD6735    	016.88355	-41.74670
HD90422   	6085	 4.02	-0.62	 291	 0.088	 0.032	 0.261	 0.142	 0.447	 0.114	-0.173	-0.359	non 	thin 	HD90422   	156.37288	-45.18271
HD457     	6089	 4.31	 0.34	 221	-0.079	 0.020	-0.062	 0.070	-0.057	 0.116	-0.017	-0.022	non 	thin 	HD457     	002.24866	-39.73716
HD162396  	6090	 4.15	-0.35	1017	 0.048	 0.012	 0.163	 0.044	 0.209	 0.051	-0.115	-0.161	non 	thin 	HD162396  	268.21910	-41.99652
HD73121   	6091	 4.18	 0.09	 597	-0.070	 0.019	-0.043	 0.040	 0.070	 0.052	-0.027	-0.140	non 	thin 	HD73121   	128.80224	-39.97045
HD224347  	6092	 4.15	-0.42	 308	 0.075	 0.016	 0.311	 0.096	      	      	-0.236	      	non 	thin 	HD224347  	359.29236	-05.45999
HD31128   	6096	 4.78	-1.39	 574	 9.990	      	      	      	      	      	      	      	non 	thick	HD31128   	073.04129	-27.06415
HD11226   	6098	 4.23	 0.04	 672	 0.017	 0.023	 0.001	 0.042	 0.090	 0.056	 0.016	-0.073	non 	thin 	HD11226   	027.56437	-06.70409
HD144846  	6102	 4.40	 0.13	  92	-0.110	 0.055	-0.163	 0.224	 0.136	 0.228	 0.053	-0.246	non 	thin 	HD144846  	242.26765	-30.25870
HD176666  	6103	 4.51	-0.37	 148	-0.030	 0.028	 0.129	 0.246	 0.374	 0.213	-0.159	-0.404	non 	thin 	HD176666  	286.33700	-61.69011
HD197536  	6105	 4.27	-0.41	 203	-0.011	 0.033	 0.129	 0.186	 0.349	 0.158	-0.140	-0.360	non 	thin 	HD197536  	311.15443	-10.49477
HD67200   	6105	 4.32	 0.32	 170	-0.115	 0.026	-0.141	 0.093	-0.109	 0.164	 0.026	-0.006	non 	thin 	HD67200   	120.38558	-70.02388
HD38772   	6106	 4.25	-0.23	 109	-0.072	 0.040	 0.116	 0.226	 0.120	 0.296	-0.188	-0.192	non 	thin 	HD38772   	086.71927	-28.89022
HD24062   	6107	 4.50	 0.28	 110	-0.219	 0.058	-0.034	 0.131	-0.028	 0.237	-0.185	-0.191	non 	thin 	HD24062   	056.19520	-70.02665
HD221356  	6112	 4.41	-0.20	 853	-0.127	 0.023	 0.060	 0.054	 0.064	 0.068	-0.187	-0.191	non 	thin 	HD221356  	352.88126	-04.08740
HD84627B  	6113	 4.38	-0.28	 134	-0.048	 0.043	 0.146	 0.207	 0.281	 0.220	-0.194	-0.329	non 	thin 	HD84627   	146.26525	-49.48536
HD209458  	6118	 4.37	 0.03	 347	-0.085	 0.018	      	      	      	      	      	      	jup 	thin 	HD209458  	330.79489	+18.88432
HD36051   	6118	 4.50	-0.08	 196	-0.064	 0.034	 0.011	 0.132	 0.192	 0.157	-0.075	-0.256	non 	thin 	HD36051   	081.67759	-45.04965
HD87838   	6118	 4.34	-0.40	 585	 0.013	 0.021	 0.236	 0.068	 0.228	 0.078	-0.223	-0.215	non 	thin 	HD87838   	151.89087	-06.43920
HD88474   	6122	 3.78	-0.48	 188	-0.033	 0.023	 0.006	 0.207	 0.372	 0.124	-0.039	-0.405	non 	thin 	HD88474   	152.28936	-70.36616
HD220367  	6128	 4.24	-0.21	 224	-0.014	 0.025	 0.139	 0.114	 0.161	 0.156	-0.153	-0.175	non 	thin 	HD220367  	351.07845	-72.16520
BD+063077 	6136	 4.82	-0.36	  34	 0.047	 0.102	      	      	      	      	      	      	non 	thick	BD+063077 	234.66259	+06.37513
HD52265   	6136	 4.23	 0.21	 290	-0.116	 0.018	-0.061	 0.064	-0.088	 0.111	-0.055	-0.028	jup 	thin 	HD52265   	105.07515	-05.36716
HD30053   	6139	 4.38	-0.22	  98	-0.069	 0.024	      	      	      	      	      	      	non 	thin 	HD30053   	070.33214	-52.62579
HD94964   	6139	 4.42	-0.07	 108	-0.127	 0.039	      	      	 0.257	 0.221	      	-0.384	non 	thin 	HD94964   	163.83346	-75.19194
HD145344  	6143	 4.25	-0.68	 187	 0.041	 0.023	 0.462	 0.180	      	      	-0.421	      	non 	thin 	HD145344  	246.88478	-83.47597
HD152433  	6144	 4.35	-0.10	 114	-0.032	 0.024	 0.071	 0.186	 0.211	 0.223	-0.103	-0.243	non 	thin 	HD152433  	253.66860	-32.19016
HD18083   	6144	 4.56	 0.03	  91	-0.109	 0.056	 0.081	 0.191	      	      	-0.190	      	non 	thin 	HD18083   	043.31934	-34.48860
HD208487  	6146	 4.34	 0.08	 949	-0.081	 0.014	 0.016	 0.037	 0.075	 0.042	-0.097	-0.156	jup 	thin 	HD208487  	329.33270	-37.76362
HD199086  	6149	 4.51	 0.18	 117	-0.122	 0.073	-0.149	 0.161	 0.004	 0.244	 0.027	-0.126	non 	thin 	HD199086  	313.76402	-07.17868
HD66039   	6149	 4.38	 0.17	 184	-0.274	 0.015	-0.047	 0.097	 0.051	 0.142	-0.227	-0.325	non 	thin 	HD66039   	119.99490	-41.70410
HD181428  	6151	 4.31	 0.06	 261	-0.047	 0.026	-0.054	 0.083	 0.120	 0.107	 0.007	-0.167	non 	thin 	HD181428  	290.41403	-29.60547
HD144880  	6152	 4.24	-0.30	 121	-0.006	 0.060	 0.191	 0.194	 0.183	 0.274	-0.197	-0.189	non 	thin 	HD144880  	242.29635	-32.10034
HD199868  	6152	 4.31	-0.13	 149	-0.006	 0.033	-0.032	 0.177	 0.162	 0.199	 0.026	-0.168	non 	thin 	HD199868  	315.94548	-68.07180
HD195633  	6154	 4.11	-0.51	 185	 0.062	 0.040	 0.077	 0.223	 0.444	 0.148	-0.015	-0.382	non 	thin 	HD195633  	308.09997	+06.51757
HD224578  	6158	 4.53	-0.01	  74	-0.193	 0.028	-0.011	 0.266	      	      	-0.182	      	non 	thin 	HD224578  	359.76207	-11.93830
HD8535    	6158	 4.28	 0.04	 474	-0.085	 0.013	 0.047	 0.055	 0.093	 0.070	-0.132	-0.178	jup 	thin 	HD8535    	020.90515	-41.26980
HD128571  	6159	 4.26	-0.37	  70	-0.020	 0.039	      	      	      	      	      	      	non 	thin 	HD128571  	220.16296	-65.41834
HD25171   	6160	 4.29	-0.11	 232	-0.045	 0.021	 0.045	 0.102	 0.141	 0.138	-0.090	-0.186	jup 	thin 	HD25171   	058.95600	-65.18667
HD75289   	6161	 4.23	 0.30	1165	-0.222	 0.014	-0.167	 0.042	-0.134	 0.032	-0.055	-0.088	jup 	thin 	HD75289   	131.91829	-41.73679
HD91379   	6164	 4.27	-0.29	 107	-0.048	 0.061	      	      	      	      	      	      	non 	thin 	HD91379   	158.18522	-19.20175
HD97320   	6165	 4.43	-1.05	 263	 0.143	 0.059	 0.867	 0.141	      	      	-0.724	      	non 	thick	HD97320   	167.75306	-65.42715
HD123619  	6166	 4.30	-0.32	  77	 0.105	 0.051	      	      	 0.048	 0.475	      	 0.057	non 	thin 	HD123619  	212.30502	-22.53756
HD24112   	6175	 4.20	 0.16	 361	-0.009	 0.016	 0.007	 0.051	 0.056	 0.075	-0.016	-0.065	non 	thin 	HD24112   	057.19514	-40.39923
HD207190  	6178	 4.18	-0.42	 268	 0.026	 0.016	 0.436	 0.077	 0.449	 0.099	-0.410	-0.423	non 	thin 	HD207190  	326.91728	-19.57782
HD23456   	6178	 4.41	-0.32	 693	 0.032	 0.014	 0.141	 0.055	 0.274	 0.069	-0.109	-0.242	non 	thin 	HD23456   	055.76984	-50.64308
HD37226   	6178	 4.01	-0.12	 405	-0.028	 0.017	 0.065	 0.055	 0.263	 0.056	-0.093	-0.291	non 	thin 	HD37226   	083.43485	-54.90229
HD225297  	6181	 4.40	-0.09	 168	-0.117	 0.042	 0.054	 0.133	 0.123	 0.200	-0.171	-0.240	non 	thin 	HD225297  	001.26097	-36.01512
HD102200  	6185	 4.44	-1.10	 251	 0.035	 0.043	 0.715	 0.209	 0.688	 0.247	-0.680	-0.653	non 	thick	HD102200  	176.39264	-46.06288
HD129829  	6196	 4.50	-0.16	  96	-0.064	 0.073	      	      	      	      	      	      	non 	thin 	HD129829  	221.32771	-18.00289
HD174153  	6196	 4.33	-0.08	 172	-0.104	 0.053	-0.050	 0.138	      	      	-0.054	      	non 	thin 	HD174153  	282.83218	-44.47570
HD66168   	6198	 4.53	-0.03	 149	-0.087	 0.023	-0.078	 0.165	      	      	-0.009	      	non 	thin 	HD66168   	119.03805	-71.98586
HD139590  	6200	 4.33	 0.13	 226	-0.074	 0.034	 0.077	 0.068	      	      	-0.151	      	non 	thin 	HD139590  	234.75440	-00.31150
HD63754   	6200	 4.05	 0.21	 229	-0.076	 0.031	-0.012	 0.061	 0.037	 0.090	-0.064	-0.113	non 	thin 	HD63754   	117.43860	-20.20763
HD195200  	6201	 4.28	-0.08	 109	-0.062	 0.037	 0.106	 0.163	 0.162	 0.237	-0.168	-0.224	non 	thin 	HD195200  	307.50676	-04.43765
HD139879  	6203	 4.45	 0.30	 102	-0.152	 0.059	 0.094	 0.106	-0.133	 0.290	-0.246	-0.019	non 	thin 	HD139879  	235.23066	-08.99857
HD191033  	6206	 4.31	-0.19	 103	-0.005	 0.046	 0.095	 0.205	 0.313	 0.223	-0.100	-0.318	non 	thin 	HD191033  	302.14955	-23.59054
HD105938  	6208	 4.11	 0.03	 215	-0.173	 0.018	 0.005	 0.080	-0.001	 0.140	-0.178	-0.172	non 	thin 	HD105938  	182.90880	-54.41764
HD61902   	6209	 4.22	-0.62	 270	 0.097	 0.030	 0.276	 0.141	 0.369	 0.167	-0.179	-0.272	non 	thin 	HD61902   	114.72356	-51.08336
HD37990   	6215	 4.39	 0.00	 175	-0.127	 0.017	-0.071	 0.125	 0.269	 0.131	-0.056	-0.396	non 	thin 	HD37990   	085.17870	-36.58489
BD-084501 	6216	 4.64	-1.39	 101	 9.990	      	      	      	      	      	      	      	non 	halo 	BD-084501 	266.86655	-08.77993
HD150177  	6216	 4.01	-0.58	1135	 0.062	 0.016	 0.155	 0.042	 0.308	 0.047	-0.093	-0.246	non 	thin 	HD150177  	249.91304	-09.55459
HD188815  	6217	 4.17	-0.53	 133	 0.028	 0.060	 0.338	 0.195	      	      	-0.310	      	non 	thin 	HD188815  	299.74392	-46.08804
HD10647   	6218	 4.45	 0.00	1252	-0.122	 0.015	-0.081	 0.025	 0.084	 0.040	-0.041	-0.206	jup 	thin 	HD10647   	025.62215	-53.74083
HD96290   	6219	 4.39	 0.03	 180	-0.075	 0.058	-0.064	 0.110	 0.150	 0.149	-0.011	-0.225	non 	thin 	HD96290   	165.99886	-74.24796
HD17051   	6227	 4.36	 0.19	 624	-0.170	 0.023	-0.189	 0.038	-0.011	 0.055	 0.019	-0.159	jup 	thin 	HD17051   	040.63944	-50.80029
HD179346  	6229	 4.59	-0.03	 113	-0.067	 0.044	-0.046	 0.196	      	      	-0.021	      	non 	thin 	HD179346  	288.11424	-05.41453
HD161566  	6230	 4.03	-0.28	 411	-0.029	 0.058	 0.112	 0.065	 0.351	 0.057	-0.141	-0.380	non 	thin 	HD161566  	267.60658	-61.92462
HD206116  	6231	 4.40	 0.24	  78	-0.143	 0.028	 0.004	 0.153	 0.307	 0.178	-0.147	-0.450	non 	thin 	HD206116  	325.04935	-09.79471
HD75881   	6239	 4.26	 0.07	 127	-0.037	 0.029	-0.105	 0.140	 0.073	 0.200	 0.068	-0.110	non 	thin 	HD75881   	133.08505	-12.80869
HD21132   	6243	 4.42	-0.37	 691	-0.061	 0.024	 0.055	 0.053	 0.278	 0.063	-0.116	-0.339	non 	thin 	HD21132   	050.35116	-61.48808
HD119629  	6250	 3.99	-0.17	 197	-0.072	 0.041	 0.079	 0.096	 0.085	 0.159	-0.151	-0.157	non 	thin 	HD119629  	206.36384	-48.79166
HD148156  	6251	 4.33	 0.25	 453	-0.082	 0.036	 0.003	 0.034	-0.006	 0.068	-0.085	-0.076	jup 	thin 	HD148156  	247.07202	-46.31763
HD28969   	6255	 4.50	-0.01	 112	-0.124	 0.041	-0.041	 0.176	 0.232	 0.223	-0.083	-0.356	non 	thin 	HD28969   	068.37025	-07.83861
HD62364   	6255	 4.29	-0.11	 214	-0.061	 0.034	-0.097	 0.121	 0.203	 0.138	 0.036	-0.264	non 	thin 	HD62364   	113.90739	-75.54423
HD25587   	6258	 4.43	-0.12	  80	 0.029	 0.054	 0.072	 0.228	      	      	-0.043	      	non 	thin 	HD25587   	060.67812	-27.48355
HD128340  	6259	 4.46	-0.55	 177	 0.039	 0.023	 0.431	 0.143	 0.514	 0.191	-0.392	-0.475	non 	thin 	HD128340  	219.25161	-24.03841
HD215906  	6259	 4.38	-0.28	 117	-0.004	 0.038	 0.119	 0.202	 0.228	 0.286	-0.123	-0.232	non 	thin 	HD215906  	342.52105	-66.05047
HD108147  	6260	 4.29	 0.18	 916	-0.175	 0.019	-0.052	 0.020	 0.009	 0.042	-0.123	-0.184	jup 	thin 	HD108147  	186.44278	-64.02209
HD173885  	6264	 4.18	-0.20	 227	-0.002	 0.021	 0.156	 0.085	 0.234	 0.131	-0.158	-0.236	non 	thin 	HD173885  	282.04918	-14.70834
